Explicit,CN
0.0272775,0.0242867
0.0207659,0.0234203
0.0205258,0.0174228
0.0201906,0.0230536
0.0212362,0.0205505
0.0248392,0.0241626
0.0219694,0.0207402
0.0222266,0.0238986
0.0222075,0.0212797
0.0241899,0.0225634
0.018344,0.0222384
0.0221536,0.0239243
0.0217548,0.0279736
0.0252061,0.0233719
0.024912,0.0234315
0.0254208,0.023972
0.0206724,0.0218442
0.0223687,0.0223048
0.0232521,0.0254684
0.0253269,0.0424017
0.0210097,0.0261984
0.0238735,0.0226078
0.0240895,0.0251108
0.0230287,0.0224072
0.0247276,0.0183123
0.0243473,0.0245542
0.0208832,0.0248957
0.0253003,0.0287882
0.0221732,0.0236769
0.0241812,0.022042
0.0251904,0.0252781
0.0205223,0.0244033
0.022432,0.0222566
0.0204636,0.0208863
0.021276,0.0198969
0.0215673,0.0228614
0.0195684,0.0210468
0.0227005,0.028075
0.0237462,0.020234
0.0183525,0.0225909
0.0200151,0.0254528
0.0223923,0.0286503
0.0217834,0.0239063
0.0216445,0.0222487
0.0278291,0.0220162
0.0200377,0.0292404
0.0249934,0.0282997
0.0223893,0.0216917
0.019705,0.0222342
0.0223206,0.0230503
0.0269924,0.0228402
0.0218966,0.0271762
0.0211145,0.0214208
0.0225765,0.0206452
0.0253501,0.0256869
0.0247799,0.0207495
0.0233218,0.0266622
0.023516,0.139495
0.0268624,0.0234064
0.0249599,0.0253058
0.0220141,0.0290788
0.0286009,0.0299294
0.0219561,0.0248979
0.023829,0.0233848
0.0202742,0.0284672
0.0222522,0.0217887
0.0234483,0.0218377
0.0210977,0.0240779
0.0198457,0.0256689
0.0221061,0.0237376
0.0217609,0.0247363
0.0179706,0.0218505
0.0281425,0.0205017
0.0209802,0.0248407
0.0226065,0.0234973
0.0179455,0.027787
0.0230072,0.0200611
0.0194308,0.0223568
0.022098,0.0297371
0.0244938,0.0230557
0.0236477,0.0183002
0.0238193,0.0214507
0.0200469,0.0200126
0.0223235,0.0230675
0.0253793,0.0239281
0.02362,0.0240468
0.0194529,0.025044
0.0252563,0.0243655
0.0241812,0.0190667
0.0190125,0.0197588
0.0247514,0.0255247
0.0266537,0.0358367
0.0219149,0.0231868
0.0206989,0.024328
0.0225212,0.0237837
0.044036,0.0218088
0.0220243,0.0228488
0.0187571,0.0208649
0.0215572,0.0265824
0.0209348,0.0281553
0.0235397,0.022208
0.0218308,0.0264524
0.0196668,0.0232614
0.0298866,0.0264499
0.027427,0.0187642
0.0195954,0.0230311
0.0233345,0.0282083
0.0234713,0.0302026
0.0202959,0.0239377
0.0239038,0.0242501
0.0236634,0.0188301
0.0219783,0.0262943
0.0257956,0.0218742
0.0195999,0.0235663
0.0205641,0.0241821
0.024606,0.0278642
0.0261638,0.0202748
0.0325915,0.0279448
0.0250419,0.0235157
0.0244388,0.0208291
0.0193143,0.0230522
0.0261982,0.0246719
0.0222805,0.0242531
0.0196886,0.0203658
0.0233217,0.0186108
0.0238273,0.0244899
0.0233131,0.0250405
0.0196089,0.0232783
0.022993,0.0249575
0.0238274,0.0239447
0.0250931,0.0195805
0.0245063,0.0243773
0.028618,0.029936
0.0202139,0.0187528
0.0210524,0.0174488
0.0209232,0.0230449
0.0225767,0.0235743
0.0188464,0.0211574
0.0185708,0.0256825
0.0217216,0.0232599
0.0215597,0.0239077
0.0212179,0.0179482
0.0207605,0.0217517
0.0213226,0.0218159
0.0199407,0.0238265
0.0199056,0.0233345
0.0245916,0.0215873
0.0202186,0.0249208
0.0257643,0.0268777
0.0224851,0.0299701
0.0230401,0.0191193
0.0219507,0.0285207
0.0230559,0.0262711
0.0217423,0.0271686
0.0204546,0.018837
0.0213785,0.0204111
0.0264608,0.0305261
0.0272125,0.024462
0.022456,0.0221894
0.0233873,0.0190008
0.0239068,0.0256109
0.0251725,0.0238594
0.0205645,0.0214509
0.0225559,0.0200874
0.0200507,0.0242146
0.0244286,0.0262298
0.0203101,0.0244054
0.019993,0.0229905
0.0214305,0.0244257
0.0230512,0.0235966
0.0226993,0.0234548
0.0215077,0.0196267
0.0187927,0.0231536
0.0212637,0.0192677
0.0200549,0.0288109
0.0199239,0.0270097
0.0253193,0.0240558
0.0256187,0.0253828
0.017277,0.0228434
0.0222644,0.0178021
0.022254,0.0210171
0.0222059,0.0291621
0.0210254,0.020374
0.0245399,0.0268408
0.0208401,0.0240294
0.0209714,0.024286
0.0265051,0.0221423
0.020908,0.0198566
0.0232881,0.0215632
0.0223265,0.0203491
0.0201447,0.0222724
0.0162868,0.0227321
0.0204129,0.0253257
0.0259495,0.0263254
0.0229515,0.0254643
0.0264463,0.0203417
0.0244786,0.0268395
0.0245878,0.0197137
0.0239023,0.0188795
0.0234779,0.0240782
0.0228596,0.0250116
0.0198249,0.0245388
0.0221423,0.0235071
0.0215219,0.023622
0.0235984,0.0232706
0.0192786,0.0279121
0.0267735,0.0243299
0.0244982,0.0317921
0.0212355,0.022671
0.023142,0.0244014
0.0249735,0.0231771
0.0223909,0.0232498
0.0214913,0.0241277
0.0233617,0.0192451
0.0442929,0.0241873
0.0217438,0.0222358
0.0224766,0.0246258
0.0200623,0.0252471
0.0244363,0.0217982
0.0232413,0.0236021
0.0203674,0.0185166
0.0231316,0.0240873
0.0268436,0.0264654
0.0186924,0.0230972
0.0210695,0.0233589
0.0220813,0.0224802
0.0229821,0.0257369
0.0235605,0.022959
0.0215374,0.0304558
0.0254427,0.0254043
0.0269958,0.0248689
0.0246347,0.0184486
0.0203518,0.0235518
0.0196754,0.0242377
0.0257186,0.0221823
0.0203496,0.0246831
0.0233816,0.0234511
0.0226268,0.0206778
0.0214067,0.0202798
0.0215539,0.0227242
0.0240099,0.0244012
0.0214745,0.0255915
0.0205461,0.0219547
0.0203806,0.0195013
0.0216861,0.0211772
