xValues,tValues,Solution
0,0,0
0.015873,0,0
0.031746,0,0
0.047619,0,0
0.0634921,0,0
0.0793651,0,0
0.0952381,0,0
0.111111,0,0
0.126984,0,0
0.142857,0,0
0.15873,0,0
0.174603,0,0
0.190476,0,0
0.206349,0,0
0.222222,0,0
0.238095,0,0
0.253968,0,0
0.269841,0,0
0.285714,0,0
0.301587,0,0
0.31746,0,0
0.333333,0,0
0.349206,0,0
0.365079,0,0
0.380952,0,0
0.396825,0,0
0.412698,0,0
0.428571,0,0
0.444444,0,0
0.460317,0,0
0.47619,0,0
0.492063,0,0
0.507937,0,0
0.52381,0,0
0.539683,0,0
0.555556,0,0
0.571429,0,0
0.587302,0,0
0.603175,0,0
0.619048,0,0
0.634921,0,0
0.650794,0,0
0.666667,0,0
0.68254,0,0
0.698413,0,0
0.714286,0,0
0.730159,0,0
0.746032,0,0
0.761905,0,0
0.777778,0,0
0.793651,0,0
0.809524,0,0
0.825397,0,0
0.84127,0,0
0.857143,0,0
0.873016,0,0
0.888889,0,0
0.904762,0,0
0.920635,0,0
0.936508,0,0
0.952381,0,0
0.968254,0,0
0.984127,0,0
1,0,0
0,0.000952381,0
0.015873,0.000952381,0.0493775
0.031746,0.000952381,0.0986321
0.047619,0.000952381,0.147642
0.0634921,0.000952381,0.196284
0.0793651,0.000952381,0.244438
0.0952381,0.000952381,0.291985
0.111111,0.000952381,0.338806
0.126984,0.000952381,0.384784
0.142857,0.000952381,0.429806
0.15873,0.000952381,0.47376
0.174603,0.000952381,0.516535
0.190476,0.000952381,0.558026
0.206349,0.000952381,0.59813
0.222222,0.000952381,0.636747
0.238095,0.000952381,0.673781
0.253968,0.000952381,0.709139
0.269841,0.000952381,0.742735
0.285714,0.000952381,0.774484
0.301587,0.000952381,0.804308
0.31746,0.000952381,0.832132
0.333333,0.000952381,0.857887
0.349206,0.000952381,0.881509
0.365079,0.000952381,0.90294
0.380952,0.000952381,0.922126
0.396825,0.000952381,0.939019
0.412698,0.000952381,0.953578
0.428571,0.000952381,0.965766
0.444444,0.000952381,0.975553
0.460317,0.000952381,0.982914
0.47619,0.000952381,0.987832
0.492063,0.000952381,0.990294
0.507937,0.000952381,0.990294
0.52381,0.000952381,0.987832
0.539683,0.000952381,0.982914
0.555556,0.000952381,0.975553
0.571429,0.000952381,0.965766
0.587302,0.000952381,0.953578
0.603175,0.000952381,0.939019
0.619048,0.000952381,0.922126
0.634921,0.000952381,0.90294
0.650794,0.000952381,0.881509
0.666667,0.000952381,0.857887
0.68254,0.000952381,0.832132
0.698413,0.000952381,0.804308
0.714286,0.000952381,0.774484
0.730159,0.000952381,0.742735
0.746032,0.000952381,0.709139
0.761905,0.000952381,0.673781
0.777778,0.000952381,0.636747
0.793651,0.000952381,0.59813
0.809524,0.000952381,0.558026
0.825397,0.000952381,0.516535
0.84127,0.000952381,0.47376
0.857143,0.000952381,0.429806
0.873016,0.000952381,0.384784
0.888889,0.000952381,0.338806
0.904762,0.000952381,0.291985
0.920635,0.000952381,0.244438
0.936508,0.000952381,0.196284
0.952381,0.000952381,0.147642
0.968254,0.000952381,0.0986321
0.984127,0.000952381,0.0493775
1,0.000952381,0
0,0.00190476,0
0.015873,0.00190476,0.0493775
0.031746,0.00190476,0.0986321
0.047619,0.00190476,0.147642
0.0634921,0.00190476,0.196284
0.0793651,0.00190476,0.244438
0.0952381,0.00190476,0.291985
0.111111,0.00190476,0.338806
0.126984,0.00190476,0.384784
0.142857,0.00190476,0.429806
0.15873,0.00190476,0.47376
0.174603,0.00190476,0.516535
0.190476,0.00190476,0.558026
0.206349,0.00190476,0.59813
0.222222,0.00190476,0.636747
0.238095,0.00190476,0.673781
0.253968,0.00190476,0.709139
0.269841,0.00190476,0.742735
0.285714,0.00190476,0.774484
0.301587,0.00190476,0.804308
0.31746,0.00190476,0.832132
