xValues,tValues,Solution
1.91837,0.204082,5.81188
1.95918,0.204082,6.09558
2,0.204082,6.48422
0,0.244898,0
0.0408163,0.244898,0.0437021
0.0816327,0.244898,0.0870985
0.122449,0.244898,0.132303
0.163265,0.244898,0.17939
0.204082,0.244898,0.22844
0.244898,0.244898,0.279532
0.285714,0.244898,0.332754
0.326531,0.244898,0.388192
0.367347,0.244898,0.44594
0.408163,0.244898,0.506094
0.44898,0.244898,0.568754
0.489796,0.244898,0.634025
0.530612,0.244898,0.702014
0.571429,0.244898,0.772837
0.612245,0.244898,0.846609
0.653061,0.244898,0.923455
0.693878,0.244898,1.0035
0.734694,0.244898,1.08689
0.77551,0.244898,1.17374
0.816327,0.244898,1.26422
0.857143,0.244898,1.35846
0.897959,0.244898,1.45663
0.938776,0.244898,1.55889
0.979592,0.244898,1.66541
1.02041,0.244898,1.77637
1.06122,0.244898,1.89195
1.10204,0.244898,2.01235
1.14286,0.244898,2.13776
1.18367,0.244898,2.26839
1.22449,0.244898,2.40447
1.26531,0.244898,2.54622
1.30612,0.244898,2.69387
1.34694,0.244898,2.84768
1.38776,0.244898,3.00789
1.42857,0.244898,3.17478
1.46939,0.244898,3.34862
1.5102,0.244898,3.5297
1.55102,0.244898,3.71832
1.59184,0.244898,3.91481
1.63265,0.244898,4.11948
1.67347,0.244898,4.33267
1.71429,0.244898,4.55475
1.7551,0.244898,4.78608
1.79592,0.244898,5.02705
1.83673,0.244898,5.27806
1.87755,0.244898,5.53952
1.91837,0.244898,5.81188
1.95918,0.244898,6.09558
2,0.244898,6.48422
0,0.285714,0
0.0408163,0.285714,0.0437021
0.0816327,0.285714,0.0870985
0.122449,0.285714,0.132303
0.163265,0.285714,0.17939
0.204082,0.285714,0.22844
0.244898,0.285714,0.279532
0.285714,0.285714,0.332754
0.326531,0.285714,0.388192
0.367347,0.285714,0.44594
0.408163,0.285714,0.506094
0.44898,0.285714,0.568754
0.489796,0.285714,0.634025
0.530612,0.285714,0.702014
0.571429,0.285714,0.772837
0.612245,0.285714,0.846609
0.653061,0.285714,0.923455
0.693878,0.285714,1.0035
0.734694,0.285714,1.08689
0.77551,0.285714,1.17374
0.816327,0.285714,1.26422
0.857143,0.285714,1.35846
0.897959,0.285714,1.45663
0.938776,0.285714,1.55889
0.979592,0.285714,1.66541
1.02041,0.285714,1.77637
1.06122,0.285714,1.89195
1.10204,0.285714,2.01235
1.14286,0.285714,2.13776
1.18367,0.285714,2.26839
1.22449,0.285714,2.40447
1.26531,0.285714,2.54622
1.30612,0.285714,2.69387
1.34694,0.285714,2.84768
1.38776,0.285714,3.00789
1.42857,0.285714,3.17478
1.46939,0.285714,3.34862
1.5102,0.285714,3.5297
1.55102,0.285714,3.71832
1.59184,0.285714,3.91481
1.63265,0.285714,4.11948
1.67347,0.285714,4.33267
1.71429,0.285714,4.55475
1.7551,0.285714,4.78608
1.79592,0.285714,5.02705
1.83673,0.285714,5.27806
1.87755,0.285714,5.53952
1.91837,0.285714,5.81188
1.95918,0.285714,6.09558
2,0.285714,6.48422
0,0.326531,0
0.0408163,0.326531,0.0437021
0.0816327,0.326531,0.0870985
0.122449,0.326531,0.132303
0.163265,0.326531,0.17939
0.204082,0.326531,0.22844
0.244898,0.326531,0.279532
0.285714,0.326531,0.332754
0.326531,0.326531,0.388192
0.367347,0.326531,0.44594
0.408163,0.326531,0.506094
0.44898,0.326531,0.568754
0.489796,0.326531,0.634025
0.530612,0.326531,0.702014
0.571429,0.326531,0.772837
0.612245,0.326531,0.846609
0.653061,0.326531,0.923455
0.693878,0.326531,1.0035
0.734694,0.326531,1.08689
0.77551,0.326531,1.17374
0.816327,0.326531,1.26422
0.857143,0.326531,1.35846
0.897959,0.326531,1.45663
0.938776,0.326531,1.55889
0.979592,0.326531,1.66541
1.02041,0.326531,1.77637
1.06122,0.326531,1.89195
1.10204,0.326531,2.01235
1.14286,0.326531,2.13776
1.18367,0.326531,2.26839
1.22449,0.326531,2.40447
1.26531,0.326531,2.54622
1.30612,0.326531,2.69387
1.34694,0.326531,2.84768
1.38776,0.326531,3.00789
1.42857,0.326531,3.17478
1.46939,0.326531,3.34862
1.5102,0.326531,3.5297
1.55102,0.326531,3.71832
1.59184,0.326531,3.91481
1.63265,0.326531,4.11948
1.67347,0.326531,4.33267
1.71429,0.326531,4.55475
1.7551,0.326531,4.78608
1.79592,0.326531,5.02705
1.83673,0.326531,5.27806
1.87755,0.326531,5.53952
1.91837,0.326531,5.81188
1.95918,0.326531,6.09558
2,0.326531,6.48422
0,0.367347,0
0.0408163,0.367347,0.0437021
0.0816327,0.367347,0.0870985
0.122449,0.367347,0.132303
0.163265,0.367347,0.17939
0.204082,0.367347,0.22844
0.244898,0.367347,0.279532
0.285714,0.367347,0.332754
0.326531,0.367347,0.388192
0.367347,0.367347,0.44594
0.408163,0.367347,0.506094
0.44898,0.367347,0.568754
0.489796,0.367347,0.634025
0.530612,0.367347,0.702014
0.571429,0.367347,0.772837
0.612245,0.367347,0.846609
0.653061,0.367347,0.923455
0.693878,0.367347,1.0035
0.734694,0.367347,1.08689
0.77551,0.367347,1.17374
0.816327,0.367347,1.26422
0.857143,0.367347,1.35846
0.897959,0.367347,1.45663
0.938776,0.367347,1.55889
0.979592,0.367347,1.66541
1.02041,0.367347,1.77637
1.06122,0.367347,1.89195
1.10204,0.367347,2.01235
1.14286,0.367347,2.13776
1.18367,0.367347,2.26839
1.22449,0.367347,2.40447
1.26531,0.367347,2.54622
1.30612,0.367347,2.69387
1.34694,0.367347,2.84768
1.38776,0.367347,3.00789
1.42857,0.367347,3.17478
1.46939,0.367347,3.34862
1.5102,0.367347,3.5297
1.55102,0.367347,3.71832
1.59184,0.367347,3.91481
1.63265,0.367347,4.11948
1.67347,0.367347,4.33267
1.71429,0.367347,4.55475
1.7551,0.367347,4.78608
1.79592,0.367347,5.02705
1.83673,0.367347,5.27806
1.87755,0.367347,5.53952
1.91837,0.367347,5.81188
1.95918,0.367347,6.09558
2,0.367347,6.48422
0,0.408163,0
0.0408163,0.408163,0.0437021
0.0816327,0.408163,0.0870985
0.122449,0.408163,0.132303
0.163265,0.408163,0.17939
0.204082,0.408163,0.22844
0.244898,0.408163,0.279532
0.285714,0.408163,0.332754
0.326531,0.408163,0.388192
0.367347,0.408163,0.44594
0.408163,0.408163,0.506094
0.44898,0.408163,0.568754
0.489796,0.408163,0.634025
0.530612,0.408163,0.702014
0.571429,0.408163,0.772837
0.612245,0.408163,0.846609
0.653061,0.408163,0.923455
0.693878,0.408163,1.0035
0.734694,0.408163,1.08689
0.77551,0.408163,1.17374
0.816327,0.408163,1.26422
0.857143,0.408163,1.35846
0.897959,0.408163,1.45663
0.938776,0.408163,1.55889
0.979592,0.408163,1.66541
1.02041,0.408163,1.77637
1.06122,0.408163,1.89195
1.10204,0.408163,2.01235
1.14286,0.408163,2.13776
1.18367,0.408163,2.26839
1.22449,0.408163,2.40447
1.26531,0.408163,2.54622
1.30612,0.408163,2.69387
1.34694,0.408163,2.84768
1.38776,0.408163,3.00789
1.42857,0.408163,3.17478
1.46939,0.408163,3.34862
1.5102,0.408163,3.5297
1.55102,0.408163,3.71832
1.59184,0.408163,3.91481
1.63265,0.408163,4.11948
1.67347,0.408163,4.33267
1.71429,0.408163,4.55475
1.7551,0.408163,4.78608
1.79592,0.408163,5.02705
1.83673,0.408163,5.27806
1.87755,0.408163,5.53952
1.91837,0.408163,5.81188
1.95918,0.408163,6.09558
2,0.408163,6.48422
0,0.44898,0
0.0408163,0.44898,0.0437021
0.0816327,0.44898,0.0870985
0.122449,0.44898,0.132303
0.163265,0.44898,0.17939
0.204082,0.44898,0.22844
0.244898,0.44898,0.279532
0.285714,0.44898,0.332754
0.326531,0.44898,0.388192
0.367347,0.44898,0.44594
0.408163,0.44898,0.506094
0.44898,0.44898,0.568754
0.489796,0.44898,0.634025
0.530612,0.44898,0.702014
0.571429,0.44898,0.772837
0.612245,0.44898,0.846609
0.653061,0.44898,0.923455
0.693878,0.44898,1.0035
0.734694,0.44898,1.08689
0.77551,0.44898,1.17374
0.816327,0.44898,1.26422
0.857143,0.44898,1.35846
0.897959,0.44898,1.45663
0.938776,0.44898,1.55889
0.979592,0.44898,1.66541
1.02041,0.44898,1.77637
1.06122,0.44898,1.89195
1.10204,0.44898,2.01235
1.14286,0.44898,2.13776
1.18367,0.44898,2.26839
1.22449,0.44898,2.40447
1.26531,0.44898,2.54622
1.30612,0.44898,2.69387
1.34694,0.44898,2.84768
1.38776,0.44898,3.00789
1.42857,0.44898,3.17478
1.46939,0.44898,3.34862
1.5102,0.44898,3.5297
1.55102,0.44898,3.71832
1.59184,0.44898,3.91481
1.63265,0.44898,4.11948
1.67347,0.44898,4.33267
1.71429,0.44898,4.55475
1.7551,0.44898,4.78608
1.79592,0.44898,5.02705
1.83673,0.44898,5.27806
1.87755,0.44898,5.53952
1.91837,0.44898,5.81188
1.95918,0.44898,6.09558
2,0.44898,6.48422
0,0.489796,0
0.0408163,0.489796,0.0437021
0.0816327,0.489796,0.0870985
0.122449,0.489796,0.132303
0.163265,0.489796,0.17939
0.204082,0.489796,0.22844
0.244898,0.489796,0.279532
0.285714,0.489796,0.332754
0.326531,0.489796,0.388192
0.367347,0.489796,0.44594
0.408163,0.489796,0.506094
0.44898,0.489796,0.568754
0.489796,0.489796,0.634025
0.530612,0.489796,0.702014
0.571429,0.489796,0.772837
0.612245,0.489796,0.846609
0.653061,0.489796,0.923455
0.693878,0.489796,1.0035
0.734694,0.489796,1.08689
0.77551,0.489796,1.17374
0.816327,0.489796,1.26422
0.857143,0.489796,1.35846
0.897959,0.489796,1.45663
0.938776,0.489796,1.55889
0.979592,0.489796,1.66541
1.02041,0.489796,1.77637
1.06122,0.489796,1.89195
1.10204,0.489796,2.01235
1.14286,0.489796,2.13776
1.18367,0.489796,2.26839
1.22449,0.489796,2.40447
1.26531,0.489796,2.54622
1.30612,0.489796,2.69387
1.34694,0.489796,2.84768
1.38776,0.489796,3.00789
1.42857,0.489796,3.17478
1.46939,0.489796,3.34862
1.5102,0.489796,3.5297
1.55102,0.489796,3.71832
1.59184,0.489796,3.91481
1.63265,0.489796,4.11948
1.67347,0.489796,4.33267
1.71429,0.489796,4.55475
1.7551,0.489796,4.78608
1.79592,0.489796,5.02705
1.83673,0.489796,5.27806
1.87755,0.489796,5.53952
1.91837,0.489796,5.81188
1.95918,0.489796,6.09558
2,0.489796,6.48422
0,0.530612,0
0.0408163,0.530612,0.0437021
0.0816327,0.530612,0.0870985
0.122449,0.530612,0.132303
0.163265,0.530612,0.17939
0.204082,0.530612,0.22844
0.244898,0.530612,0.279532
0.285714,0.530612,0.332754
0.326531,0.530612,0.388192
0.367347,0.530612,0.44594
0.408163,0.530612,0.506094
0.44898,0.530612,0.568754
0.489796,0.530612,0.634025
0.530612,0.530612,0.702014
0.571429,0.530612,0.772837
0.612245,0.530612,0.846609
0.653061,0.530612,0.923455
0.693878,0.530612,1.0035
0.734694,0.530612,1.08689
0.77551,0.530612,1.17374
0.816327,0.530612,1.26422
0.857143,0.530612,1.35846
0.897959,0.530612,1.45663
0.938776,0.530612,1.55889
0.979592,0.530612,1.66541
1.02041,0.530612,1.77637
1.06122,0.530612,1.89195
1.10204,0.530612,2.01235
1.14286,0.530612,2.13776
1.18367,0.530612,2.26839
1.22449,0.530612,2.40447
1.26531,0.530612,2.54622
1.30612,0.530612,2.69387
1.34694,0.530612,2.84768
1.38776,0.530612,3.00789
1.42857,0.530612,3.17478
1.46939,0.530612,3.34862
1.5102,0.530612,3.5297
1.55102,0.530612,3.71832
1.59184,0.530612,3.91481
1.63265,0.530612,4.11948
1.67347,0.530612,4.33267
1.71429,0.530612,4.55475
1.7551,0.530612,4.78608
1.79592,0.530612,5.02705
1.83673,0.530612,5.27806
1.87755,0.530612,5.53952
1.91837,0.530612,5.81188
1.95918,0.530612,6.09558
2,0.530612,6.48422
0,0.571429,0
0.0408163,0.571429,0.0437021
0.0816327,0.571429,0.0870985
0.122449,0.571429,0.132303
0.163265,0.571429,0.17939
0.204082,0.571429,0.22844
0.244898,0.571429,0.279532
0.285714,0.571429,0.332754
0.326531,0.571429,0.388192
0.367347,0.571429,0.44594
0.408163,0.571429,0.506094
0.44898,0.571429,0.568754
0.489796,0.571429,0.634025
0.530612,0.571429,0.702014
0.571429,0.571429,0.772837
0.612245,0.571429,0.846609
0.653061,0.571429,0.923455
0.693878,0.571429,1.0035
0.734694,0.571429,1.08689
0.77551,0.571429,1.17374
