xValues,tValues,Solution
0.653061,0.163265,0.921098
0.693878,0.163265,1.00082
0.734694,0.163265,1.08387
0.77551,0.163265,1.17037
0.816327,0.163265,1.26048
0.857143,0.163265,1.35434
0.897959,0.163265,1.45211
0.938776,0.163265,1.55396
0.979592,0.163265,1.66005
1.02041,0.163265,1.77056
1.06122,0.163265,1.88567
1.10204,0.163265,2.00558
1.14286,0.163265,2.13048
1.18367,0.163265,2.26059
1.22449,0.163265,2.39612
1.26531,0.163265,2.53729
1.30612,0.163265,2.68434
1.34694,0.163265,2.83753
1.38776,0.163265,2.99709
1.42857,0.163265,3.1633
1.46939,0.163265,3.33643
1.5102,0.163265,3.51678
1.55102,0.163265,3.70464
1.59184,0.163265,3.90033
1.63265,0.163265,4.10417
1.67347,0.163265,4.31651
1.71429,0.163265,4.53762
1.7551,0.163265,4.76676
1.79592,0.163265,4.99594
1.83673,0.163265,5.19197
1.87755,0.163265,5.26224
1.91837,0.163265,5.13891
1.95918,0.163265,4.3095
2,0.163265,6.48422
0,0.204082,0.00727601
0.0408163,0.204082,0.0461716
0.0816327,0.204082,0.089402
0.122449,0.204082,0.134192
0.163265,0.204082,0.180874
0.204082,0.204082,0.229581
0.244898,0.204082,0.280374
0.285714,0.204082,0.33331
0.326531,0.204082,0.388463
0.367347,0.204082,0.445917
0.408163,0.204082,0.505766
0.44898,0.204082,0.568109
0.489796,0.204082,0.633049
0.530612,0.204082,0.700695
0.571429,0.204082,0.771158
0.612245,0.204082,0.844558
0.653061,0.204082,0.921015
0.693878,0.204082,1.00066
0.734694,0.204082,1.08362
0.77551,0.204082,1.17003
0.816327,0.204082,1.26005
0.857143,0.204082,1.35382
0.897959,0.204082,1.45149
0.938776,0.204082,1.55323
0.979592,0.204082,1.65922
1.02041,0.204082,1.76961
1.06122,0.204082,1.88461
1.10204,0.204082,2.00439
1.14286,0.204082,2.12917
1.18367,0.204082,2.25915
1.22449,0.204082,2.39454
1.26531,0.204082,2.53557
1.30612,0.204082,2.68247
1.34694,0.204082,2.8355
1.38776,0.204082,2.9949
1.42857,0.204082,3.16094
1.46939,0.204082,3.3339
1.5102,0.204082,3.51407
1.55102,0.204082,3.70174
1.59184,0.204082,3.89723
1.63265,0.204082,4.10086
1.67347,0.204082,4.31291
1.71429,0.204082,4.53306
1.7551,0.204082,4.75767
1.79592,0.204082,4.97081
1.83673,0.204082,5.13003
1.87755,0.204082,5.14975
1.91837,0.204082,5.00022
1.95918,0.204082,4.21122
2,0.204082,6.48422
0,0.244898,0.00733905
0.0408163,0.244898,0.046549
0.0816327,0.244898,0.0900077
0.122449,0.244898,0.134887
0.163265,0.244898,0.181563
0.204082,0.244898,0.23022
0.244898,0.244898,0.280952
0.285714,0.244898,0.333828
0.326531,0.244898,0.388921
0.367347,0.244898,0.446315
0.408163,0.244898,0.506103
0.44898,0.244898,0.568383
0.489796,0.244898,0.633257
0.530612,0.244898,0.700834
0.571429,0.244898,0.771226
0.612245,0.244898,0.844551
0.653061,0.244898,0.920931
0.693878,0.244898,1.00049
0.734694,0.244898,1.08337
0.77551,0.244898,1.1697
0.816327,0.244898,1.25962
0.857143,0.244898,1.3533
0.897959,0.244898,1.45087
0.938776,0.244898,1.55251
0.979592,0.244898,1.65838
1.02041,0.244898,1.76867
1.06122,0.244898,1.88355
1.10204,0.244898,2.00321
1.14286,0.244898,2.12786
1.18367,0.244898,2.2577
1.22449,0.244898,2.39296
1.26531,0.244898,2.53385
1.30612,0.244898,2.6806
1.34694,0.244898,2.83347
1.38776,0.244898,2.99271
1.42857,0.244898,3.15859
1.46939,0.244898,3.33137
1.5102,0.244898,3.51135
1.55102,0.244898,3.69883
1.59184,0.244898,3.89412
1.63265,0.244898,4.0975
1.67347,0.244898,4.30893
1.71429,0.244898,4.52678
1.7551,0.244898,4.74359
1.79592,0.244898,4.93734
1.83673,0.244898,5.0631
1.87755,0.244898,5.04734
1.91837,0.244898,4.88804
1.95918,0.244898,4.13682
2,0.244898,6.48422
0,0.285714,0.00739401
0.0408163,0.285714,0.0468807
0.0816327,0.285714,0.0905549
0.122449,0.285714,0.135538
0.163265,0.285714,0.182229
0.204082,0.285714,0.230851
0.244898,0.285714,0.281528
0.285714,0.285714,0.334344
0.326531,0.285714,0.389378
0.367347,0.285714,0.446712
0.408163,0.285714,0.506439
0.44898,0.285714,0.568655
0.489796,0.285714,0.633463
0.530612,0.285714,0.700971
0.571429,0.285714,0.771292
0.612245,0.285714,0.844543
0.653061,0.285714,0.920845
0.693878,0.285714,1.00033
0.734694,0.285714,1.08312
0.77551,0.285714,1.16936
0.816327,0.285714,1.25919
0.857143,0.285714,1.35277
0.897959,0.285714,1.45025
0.938776,0.285714,1.55178
0.979592,0.285714,1.65755
1.02041,0.285714,1.76772
1.06122,0.285714,1.88248
1.10204,0.285714,2.00203
1.14286,0.285714,2.12655
1.18367,0.285714,2.25626
1.22449,0.285714,2.39138
1.26531,0.285714,2.53212
1.30612,0.285714,2.67873
1.34694,0.285714,2.83145
1.38776,0.285714,2.99053
1.42857,0.285714,3.15623
1.46939,0.285714,3.32884
1.5102,0.285714,3.50864
1.55102,0.285714,3.69593
1.59184,0.285714,3.89099
1.63265,0.285714,4.09395
1.67347,0.285714,4.30414
1.71429,0.285714,4.51805
1.7551,0.285714,4.72465
1.79592,0.285714,4.89827
1.83673,0.285714,4.99562
1.87755,0.285714,4.95546
1.91837,0.285714,4.7952
1.95918,0.285714,4.07798
2,0.285714,6.48422
0,0.326531,0.0074429
0.0408163,0.326531,0.0471776
0.0816327,0.326531,0.0910546
0.122449,0.326531,0.136148
0.163265,0.326531,0.182868
0.204082,0.326531,0.231469
0.244898,0.326531,0.282099
0.285714,0.326531,0.334859
0.326531,0.326531,0.389833
0.367347,0.326531,0.447108
0.408163,0.326531,0.506772
0.44898,0.326531,0.568925
0.489796,0.326531,0.633667
0.530612,0.326531,0.701107
0.571429,0.326531,0.771357
0.612245,0.326531,0.844533
0.653061,0.326531,0.920758
0.693878,0.326531,1.00016
0.734694,0.326531,1.08287
0.77551,0.326531,1.16902
0.816327,0.326531,1.25876
0.857143,0.326531,1.35225
0.897959,0.326531,1.44962
0.938776,0.326531,1.55106
0.979592,0.326531,1.65671
1.02041,0.326531,1.76678
1.06122,0.326531,1.88142
1.10204,0.326531,2.00084
1.14286,0.326531,2.12524
1.18367,0.326531,2.25482
1.22449,0.326531,2.3898
1.26531,0.326531,2.5304
1.30612,0.326531,2.67686
1.34694,0.326531,2.82942
1.38776,0.326531,2.98834
1.42857,0.326531,3.15388
1.46939,0.326531,3.32631
1.5102,0.326531,3.50593
1.55102,0.326531,3.69301
1.59184,0.326531,3.88776
1.63265,0.326531,4.09
1.67347,0.326531,4.29813
1.71429,0.326531,4.50662
1.7551,0.326531,4.7016
1.79592,0.326531,4.85591
1.83673,0.326531,4.92993
1.87755,0.326531,4.87324
1.91837,0.326531,4.71685
1.95918,0.326531,4.02996
2,0.326531,6.48422
0,0.367347,0.00748708
0.0408163,0.367347,0.0474472
0.0816327,0.367347,0.091515
0.122449,0.367347,0.136721
0.163265,0.367347,0.183483
0.204082,0.367347,0.232073
0.244898,0.367347,0.282663
0.285714,0.367347,0.335371
0.326531,0.367347,0.390287
0.367347,0.367347,0.447501
0.408163,0.367347,0.507104
0.44898,0.367347,0.569193
0.489796,0.367347,0.63387
0.530612,0.367347,0.701241
0.571429,0.367347,0.771419
0.612245,0.367347,0.844521
0.653061,0.367347,0.920669
0.693878,0.367347,0.999989
0.734694,0.367347,1.08261
0.77551,0.367347,1.16868
0.816327,0.367347,1.25833
0.857143,0.367347,1.35172
0.897959,0.367347,1.449
0.938776,0.367347,1.55033
0.979592,0.367347,1.65588
1.02041,0.367347,1.76583
1.06122,0.367347,1.88036
1.10204,0.367347,1.99966
1.14286,0.367347,2.12393
1.18367,0.367347,2.25338
1.22449,0.367347,2.38822
1.26531,0.367347,2.52868
1.30612,0.367347,2.67499
1.34694,0.367347,2.8274
1.38776,0.367347,2.98615
1.42857,0.367347,3.15152
1.46939,0.367347,3.32378
1.5102,0.367347,3.5032
1.55102,0.367347,3.69004
1.59184,0.367347,3.88433
1.63265,0.367347,4.08543
1.67347,0.367347,4.29064
1.71429,0.367347,4.49255
1.7551,0.367347,4.67538
1.79592,0.367347,4.81197
1.83673,0.367347,4.86713
1.87755,0.367347,4.79951
1.91837,0.367347,4.64966
1.95918,0.367347,3.98978
2,0.367347,6.48422
0,0.408163,0.00752745
0.0408163,0.408163,0.0476944
0.0816327,0.408163,0.0919423
0.122449,0.408163,0.137262
0.163265,0.408163,0.184072
0.204082,0.408163,0.232661
0.244898,0.408163,0.28322
0.285714,0.408163,0.335878
0.326531,0.408163,0.390739
0.367347,0.408163,0.447893
0.408163,0.408163,0.507435
0.44898,0.408163,0.56946
0.489796,0.408163,0.63407
0.530612,0.408163,0.701373
0.571429,0.408163,0.77148
0.612245,0.408163,0.844508
0.653061,0.408163,0.920579
0.693878,0.408163,0.999818
0.734694,0.408163,1.08236
0.77551,0.408163,1.16834
0.816327,0.408163,1.2579
0.857143,0.408163,1.35119
0.897959,0.408163,1.44837
0.938776,0.408163,1.5496
0.979592,0.408163,1.65504
1.02041,0.408163,1.76488
1.06122,0.408163,1.8793
1.10204,0.408163,1.99848
1.14286,0.408163,2.12262
1.18367,0.408163,2.25194
1.22449,0.408163,2.38664
1.26531,0.408163,2.52696
1.30612,0.408163,2.67312
1.34694,0.408163,2.82537
1.38776,0.408163,2.98397
1.42857,0.408163,3.14917
1.46939,0.408163,3.32125
1.5102,0.408163,3.50046
1.55102,0.408163,3.68697
1.59184,0.408163,3.88059
1.63265,0.408163,4.08007
1.67347,0.408163,4.28157
1.71429,0.408163,4.47613
1.7551,0.408163,4.64686
1.79592,0.408163,4.76761
1.83673,0.408163,4.80768
1.87755,0.408163,4.73312
1.91837,0.408163,4.59123
1.95918,0.408163,3.95553
2,0.408163,6.48422
0,0.44898,0.00756468
0.0408163,0.44898,0.0479231
0.0816327,0.44898,0.0923411
0.122449,0.44898,0.137774
0.163265,0.44898,0.184638
0.204082,0.44898,0.233233
0.244898,0.44898,0.283766
0.285714,0.44898,0.336381
0.326531,0.44898,0.391187
0.367347,0.44898,0.448283
0.408163,0.44898,0.507763
0.44898,0.44898,0.569725
0.489796,0.44898,0.63427
0.530612,0.44898,0.701504
0.571429,0.44898,0.77154
0.612245,0.44898,0.844494
0.653061,0.44898,0.920487
0.693878,0.44898,0.999646
0.734694,0.44898,1.0821
0.77551,0.44898,1.16799
0.816327,0.44898,1.25747
0.857143,0.44898,1.35066
0.897959,0.44898,1.44774
0.938776,0.44898,1.54887
0.979592,0.44898,1.65421
1.02041,0.44898,1.76393
1.06122,0.44898,1.87823
1.10204,0.44898,1.99729
1.14286,0.44898,2.12131
1.18367,0.44898,2.2505
1.22449,0.44898,2.38506
1.26531,0.44898,2.52524
1.30612,0.44898,2.67125
1.34694,0.44898,2.82335
1.38776,0.44898,2.98178
1.42857,0.44898,3.14681
1.46939,0.44898,3.3187
1.5102,0.44898,3.49766
1.55102,0.44898,3.68374
